"Kerncijfers wijken en buurten 2020"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Aa en Hunze";"Wijk 00 Annen";"Annen";"Aalsmeer";"Wijk 00 Aalsmeer";"Centrum"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Nederlandse Antillen en Aruba";"aantal";"166265";"41";"5";"5";"125";"40";"5"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Suriname";"aantal";"356402";"61";"0";"5";"488";"140";"25"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Turkije";"aantal";"416864";"16";"0";"0";"158";"70";"25"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Overig niet-westers";"aantal";"1043665";"513";"65";"60";"1682";"655";"105"
"Bevolking|Geboorte en sterfte|Geboorte totaal";"aantal";"168681";"167";"25";"25";"271";"115";"35"
"Bevolking|Geboorte en sterfte|Geboorte relatief";"per 1 000 inwoners";"10";"7";"7";"7";"9";"9";"13"
"Bevolking|Geboorte en sterfte|Sterfte totaal";"aantal";"168678";"274";"35";"30";"277";"195";"105"
"Bevolking|Geboorte en sterfte|Sterfte relatief";"per 1 000 inwoners";"10";"11";"10";"10";"9";"15";"38"
"Bevolking|Particuliere huishoudens|Huishoudens totaal";"aantal";"7997800";"11160";"1565";"1500";"13182";"5685";"1310"
"Bevolking|Particuliere huishoudens|Eenpersoonshuishoudens";"aantal";"3079778";"3236";"430";"415";"3836";"1965";"540"
"Bevolking|Particuliere huishoudens|Huishoudens zonder kinderen";"aantal";"2302921";"4361";"590";"555";"3889";"1790";"415"
"Bevolking|Particuliere huishoudens|Huishoudens met kinderen";"aantal";"2615101";"3563";"550";"525";"5457";"1925";"355"
"Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte";"aantal";"2,1";"2,2";"2,3";"2,3";"2,4";"2,2";"2,0"
"Bevolking|Bevolkingsdichtheid";"aantal inwoners per km²";"517";"92";"246";"1370";"1584";"1813";"5191"
"Wonen|Woningvoorraad";"aantal";"7891786";"11179";"1627";"1564";"13217";"5805";"1425"
"Wonen|Gemiddelde WOZ-waarde van woningen";"x 1 000 euro";"271";"257";"254";"245";"361";"340";"350"
"Wonen|Woningen naar type|Percentage eengezinswoning";"%";"64";"92";"91";"90";"78";"72";"41"
"Wonen|Woningen naar type|Percentage meergezinswoning";"%";"36";"8";"9";"10";"22";"28";"59"
"Wonen|Woningen naar bewoning|Percentage bewoond";"%";"96";"96";"96";"96";"96";"95";"93"
"Wonen|Woningen naar bewoning|Percentage onbewoond";"%";"4";"4";"4";"4";"4";"5";"7"
"Wonen|Woningen naar eigendom|Koopwoningen";"%";"57";"75";"74";"73";"65";"59";"59"
"Wonen|Woningen naar eigendom|Huurwoningen|Huurwoningen totaal";"%";"43";"25";"26";"27";"35";"41";"41"
"Wonen|Woningen naar eigendom|Huurwoningen|In bezit woningcorporatie";"%";"29";"20";"20";"20";"24";"24";"18"
"Wonen|Woningen naar eigendom|Huurwoningen|In bezit overige verhuurders";"%";"13";"6";"6";"6";"12";"17";"23"
"Wonen|Woningen naar eigendom|Eigendom onbekend";"%";"0";"0";"0";"0";"0";"0";"0"
"Wonen|Woningen naar bouwjaar|Bouwjaar voor 2000";"%";"83";"89";"88";"88";"65";"76";"52"
"Wonen|Woningen naar bouwjaar|Bouwjaar vanaf 2000";"%";"17";"11";"12";"12";"35";"24";"48"
"Energie|Gemiddeld elektriciteitsverbruik|Gemiddeld elektriciteitsverbruik totaal";"kWh";"2760";"3090";"3000";"2950";"3080";"2900";"2760"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Appartement";"kWh";"1990";"1870";"1630";"1630";"1980";"2030";"2070"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Tussenwoning";"kWh";"2850";"2250";"2320";"2320";"3090";"2920";"3330"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Hoekwoning";"kWh";"2970";"2520";"2650";"2650";"3200";"3050";"3470"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Twee-onder-één-kap-woning";"kWh";"3290";"2870";"3060";"3060";"3710";"3590";"3900"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Vrijstaande woning";"kWh";"4040";"3660";"3630";"3540";"4200";"4210";"4330"
"Energie|Gemiddeld elektriciteitsverbruik|Naar eigendom|Huurwoning";"kWh";"2110";"2230";"1950";"1950";"2260";"2180";"2030"
"Energie|Gemiddeld elektriciteitsverbruik|Naar eigendom|Eigen woning";"kWh";"3230";"3380";"3350";"3290";"3520";"3380";"3240"
"Energie|Gemiddeld aardgasverbruik|Gemiddeld aardgasverbruik totaal";"m³";"1120";"1660";"1540";"1520";"1230";"1230";"1060"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Appartement";"m³";"750";"900";"800";"800";"720";"760";"780"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Tussenwoning";"m³";"1050";"1190";"1250";"1250";"1100";"1170";"1110"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Hoekwoning";"m³";"1250";"1360";"1390";"1390";"1310";"1390";"1420"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Twee-onder-één-kap-woning";"m³";"1450";"1450";"1470";"1470";"1550";"1540";"1470"
"Energie|Gemiddeld aardgasverbruik|Naar woningtype|Vrijstaande woning";"m³";"1910";"2010";"1900";"1880";"2000";"2080";"1990"
"Energie|Gemiddeld aardgasverbruik|Naar eigendom|Huurwoning";"m³";"870";"1240";"1150";"1150";"1020";"1010";"860"
"Energie|Gemiddeld aardgasverbruik|Naar eigendom|Eigen woning";"m³";"1300";"1790";"1670";"1650";"1340";"1370";"1210"
"Energie|Gemiddeld aardgasverbruik|Percentage woningen met stadsverwarming";"%";"6,3";".";".";".";".";".";"."
"Opleidingsniveau|Opleidingsniveau laag ";"aantal";"3663210";"4570";"560";"530";"6800";"2800";"530"
"Opleidingsniveau|Opleidingsniveau middelbaar ";"aantal";"5505600";"8800";"1270";"1210";"10200";"3990";"720"
"Opleidingsniveau|Opleidingsniveau hoog ";"aantal";"4100340";"5790";"830";"790";"6660";"2560";"690"
"Arbeid|Nettoarbeidsparticipatie";"%";"69";"67";"69";"69";"76";"74";"76"
"Arbeid|Onderverdeling werkenden|Percentage werknemers ";"%";"84";"80";"83";"84";"83";"82";"80"
"Arbeid|Onderverdeling werkenden|Percentage zelfstandigen ";"%";"16";"20";"17";"16";"17";"18";"20"
"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"aantal";"13805800";"20700";"2900";"2800";"25200";"10300";"2200"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"x 1 000 euro";"34,3";"33,9";"35,9";"35,3";"38,9";"37,2";"41,3"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"x 1 000 euro";"27,9";"28,2";"29,5";"28,9";"31,3";"31,1";"34,7"
"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"%";"40,0";"39,9";"36,5";"36,6";"36,0";"38,0";"35,4"
"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"%";"20,0";"19,7";"21,8";"21,2";"24,5";"22,0";"27,4"
"Inkomen|Inkomen van huishoudens|Gem. gestandaardiseerd inkomen van huish";"x 1 000 euro";"32,1";"33,4";"34,8";"34,3";"38,9";"39,1";"40,7"
"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"%";"40,0";"32,0";"28,6";"29,2";"29,4";"34,1";"34,6"
"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"%";"20,0";"22,7";"25,9";"24,7";"30,9";"25,8";"29,1"
"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"%";"6,8";"4,7";"2,8";"2,7";"3,3";"3,9";"3,1"
"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"%";"6,8";"4,7";"3,9";"3,8";"3,5";"4,3";"4,0"
"Inkomen|Inkomen van huishoudens|Huishoudens tot 110% van sociaal minimum";"%";"10,2";"7,3";"6,0";"6,0";"5,3";"6,6";"5,9"
"Inkomen|Inkomen van huishoudens|Huishoudens tot 120% van sociaal minimum";"%";"13,0";"9,6";"8,7";"8,8";"7,4";"8,9";"8,7"
"Inkomen|Inkomen van huishoudens|Mediaan vermogen van particuliere huish.";"x 1 000 euro";"65,3";"140,9";"144,0";"135,6";"174,3";"163,2";"205,2"
"Sociale zekerheid|Personen per soort uitkering; Bijstand";"aantal";"421110";"380";"30";"30";"270";"140";"10"
"Sociale zekerheid|Personen per soort uitkering; AO";"aantal";"732950";"1100";"110";"110";"900";"370";"50"
"Sociale zekerheid|Personen per soort uitkering; WW";"aantal";"238650";"310";"50";"50";"400";"140";"30"
"Sociale zekerheid|Personen per soort uitkering; AOW";"aantal";"3122870";"6200";"860";"820";"5530";"2940";"740"
"Zorg|Jongeren met jeugdzorg in natura ";"aantal";"429210";"575";"70";"70";"550";"165";"25"
"Zorg|Percentage jongeren met jeugdzorg ";"%";"9,7";"10,0";"8,0";"8,3";"6,3";"5,5";"4,3"
"Zorg|Wmo-cliënten ";"aantal";"1221820";"1865";"240";"240";".";".";"."
"Zorg|Wmo-cliënten relatief ";"per 1 000 inwoners";"70";"73";"66";"69";".";".";"."
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen totaal";"aantal";"2033385";"2910";"365";"340";"4450";"1945";"495"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|A Landbouw, bosbouw en visserij";"aantal";"76905";"290";"20";"15";"125";"30";"5"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|B-F Nijverheid en energie";"aantal";"276035";"345";"45";"45";"600";"225";"45"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|G+I Handel en horeca";"aantal";"349180";"480";"65";"60";"970";"480";"125"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|H+J Vervoer, informatie en communicatie";"aantal";"152370";"135";"10";"10";"370";"150";"30"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|K-L Financiële diensten, onroerend goed";"aantal";"167075";"190";"30";"30";"540";"255";"85"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|M-N Zakelijke dienstverlening";"aantal";"469030";"600";"85";"80";"990";"410";"115"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|O-Q Overheid, onderwijs en zorg";"aantal";"312910";"535";"70";"65";"460";"200";"50"
"Bedrijfsvestigingen, SBI 2008|Bedrijfsvestigingen naar activiteit|R-U Cultuur, recreatie, overige diensten";"aantal";"229880";"325";"40";"35";"400";"200";"45"
"Motorvoertuigen|Personenauto's|Personenauto's totaal";"aantal";"8584390";"14645";"2035";"1935";"16955";"6695";"1320"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; brandstof benzine";"aantal";"6883820";"11085";"1605";"1535";"14725";"5860";"1165"
"Motorvoertuigen|Personenauto's|Personenauto's; brandstoftype|Personenauto's; overige brandstof";"aantal";"1700575";"3560";"430";"405";"2225";"835";"155"
"Motorvoertuigen|Personenauto's|Personenauto's per huishouden";"per huishouden";"1,1";"1,3";"1,3";"1,3";"1,3";"1,2";"1,0"
"Motorvoertuigen|Personenauto's|Personenauto's naar oppervlakte";"per km²";"255";"53";"139";"768";"843";"955";"2464"
"Motorvoertuigen|Motorfietsen";"aantal";"654385";"1745";"205";"195";"1440";"500";"120"
"Nabijheid voorzieningen|Afstand tot huisartsenpraktijk";"km";"1,0";"2,4";"0,9";"0,8";"0,9";"0,9";"0,8"
"Nabijheid voorzieningen|Afstand tot grote supermarkt";"km";"0,9";"2,1";"0,9";"0,8";"0,8";"0,6";"0,5"
"Nabijheid voorzieningen|Afstand tot kinderdagverblijf";"km";"0,6";"1,2";"0,5";"0,5";"0,6";"0,7";"0,4"
"Nabijheid voorzieningen|Basisonderwijs|Afstand tot school";"km";"0,7";"1,2";"0,8";"0,8";"0,8";"0,8";"0,5"
"Nabijheid voorzieningen|Basisonderwijs|Scholen binnen 3 km";"aantal";"10,9";"1,8";"2,6";"2,6";"3,9";"3,6";"3,0"
"Oppervlakte|Oppervlakte totaal";"ha";"4154338";"27887";"1478";"252";"3229";"1440";"61"
"Oppervlakte|Oppervlakte land";"ha";"3367109";"27609";"1466";"252";"2012";"701";"54"
"Oppervlakte|Oppervlakte water";"ha";"787228";"279";"13";"0";"1217";"739";"7"
"Postcode|Meest voorkomende postcode";"code";".";".";".";"9468";".";".";"1431"
"Postcode|Dekkingspercentage";"code";".";".";".";"1";".";".";"1"
"Stedelijkheid|Mate van stedelijkheid";"code";"2";"5";"5";"5";"4";"3";"3"
"Stedelijkheid|Omgevingsadressendichtheid";"per km²";"2010";"281";"396";"411";"930";"1013";"1070"
"Bron: CBS"
